query,perfume_id,perfume_name,brand,description
winter evening cologne notes,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
Bruno Banani Pride Edition fragrance description,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
frosty night woody perfume,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
men's winter woody and fruity cologne,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
le male pride perfume,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
scent for winter dates,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
citrusy white floral perfume,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
jean paul gaultier le male pride review,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
eau de toilette for romantic evenings,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
warm vanilla scent for him,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
perfume with orange blossom notes,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
best winter date night fragrance,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
le male pride 2023 musk accord,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
citrusy and floral winter evening perfume,5,le-male-pride-2023,jean-paul-gaultier,"le-male-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: yuzu, blood orange. middle notes: neroli, orange blossom. base notes: musk, white woods."
le-male-pride 2024 perfume,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
citrus and floral winter scent,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
warm vanilla fragrance for date night,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
le-male-pride 2024 by jean paul gaultier,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
yuzu and neroli perfume notes,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
woody musk and citrus perfume,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
le-male-pride 2024 for winter evenings,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
fresh white floral date night perfume,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
le-male-pride 2024 review,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
citrus and floral winter fragrance,6,le-male-pride-2024,jean-paul-gaultier,"le-male-pride-2024 by jean-paul-gaultier. accords: white floral, citrus, fresh. top notes: citruses, yuzu. middle notes: neroli, orange blossom. base notes: woodsy notes, musk."
Polo Red Pride perfume,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Ralph Lauren woody amber fragrance,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Cranberry scented perfume for men,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Winters night date night scent,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Woody amber winter evening perfume,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Praline and saffron perfume notes,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Ralph Lauren warm vanilla perfume,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Date night scent with amber notes,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Polo Red Pride edition perfume review,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Cranberry and lavender perfume for men,7,polo-red-pride-edition,ralph-lauren,"polo-red-pride-edition by ralph-lauren. accords: woody, amber, citrus. top notes: cranberry, pink grapefruit, citron. middle notes: clary sage, lavender, saffron. base notes: amberwood, brazilian redwood, coffee."
Ralph Lauren romantic fragrance,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Winter evening scent with citrus notes,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Fruity floral perfume by Ralph Lauren,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Tangerine and freesia top notes perfume,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Magnolia and linden blossom middle notes perfume,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Musk and white iris base notes perfume,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Perfect date night fragrance,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Warm vanilla and fruity floral perfume,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Ralph Pride Edition winter edition,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
Citrus fruity floral winter perfume,8,ralph-pride-edition,ralph-lauren,"ralph-pride-edition by ralph-lauren. accords: citrus, fruity, floral. top notes: tangerine, green apple, freesia. middle notes: magnolia, lime (linden blossom), osmanthus. base notes: musk, white iris."
waffle perfume,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
romantic winter fragrance,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
vanilla musk perfume,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
date night scent,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
powdery waffle perfume notes,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
winter evening perfume with peach blossom,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
strawberry almond waffle perfume,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
musky violet waffle perfume,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
waffle perfume for romantic evenings,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
praline vanilla waffle perfume,9,waffle,we-pink,"waffle by we-pink. accords: powdery, musky, violet. top notes: strawberry, almond, raspberry. middle notes: butter, peach blossom, violet. base notes: praline, vanilla, musk."
le male pride edition perfume,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
citrus and spicy perfume for men,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
white floral winter evening perfume,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
musk and vanilla date night perfume,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
neroli and orange blossom perfume,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
blood orange yuzu top notes perfume,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
fresher than ever perfume for men,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
jean paul gaultier le male pride edition review,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
winter evening scent for him,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
date night fragrance with musk,10,le-male-pride-edition,jean-paul-gaultier,"le-male-pride-edition by jean-paul-gaultier. accords: citrus, white floral, fresh spicy. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
romantic winter evening scent,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
vivamor parfums rouge imperiale perfume,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
warm vanilla fragrance for date night,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
leather and rose perfume notes,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
winter date night perfume with vanilla,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
suede and rose scent description,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
date night perfume with warm spices,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
vivamor parfums roumaine imperiale fragrance,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
perfume with iris and jasmine notes,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
Texas cedar and suede winter perfume,11,rouge-imperiale,vivamor-parfums,"rouge-imperiale by vivamor-parfums. accords: leather, warm spicy, rose. top notes: saffron, bulgarian rose. middle notes: australian sandalwood, iris, jasmine. base notes: suede, bourbon vanilla, texas cedar."
romantic winter perfume,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
cherry lady brocard fruity,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
tropical sweet perfume notes,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
date night fragrance with mango,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
cherry lady brocard winter,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
watermelon peach perfume notes,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
hibiscus musk perfume review,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
cherry lady brocard date night,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
sandalwood amber perfume accord,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
winter evening perfume notes,12,cherry-lady,brocard,"cherry-lady by brocard. accords: fruity, tropical, sweet. top notes: watermelon, mango, papaya, pineapple, peach, lemon. middle notes: lotus, hibiscus. base notes: musk, sandalwood, amber."
spicy men's perfume,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
trump's green spicy fragrance,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
fresh spicy perfume for men,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
romantic winter evening scent,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
date night spicy woody perfume,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
exotic woods and spices perfume,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
spicy peppery perfume notes,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
green spicy notes perfume,15,donald-trump,trump,"donald-trump by trump. accords: green, fresh spicy, aromatic. top notes: cucumber, black basil, mint, citruses. middle notes: spicy notes, pepper, herbal notes, woody notes. base notes: spicy notes, exotic woods, vetiver."
